absolute_magnitude_h,close_approach_date,miss_distance_astronomical,miss_distance_lunar,miss_distance_kilometers,miss_distance_miles,relative_velocity_kph,relative_velocity_kps,relative_velocity_mph,estimated_max_diameter_kilometers,estimated_min_diameter_kilometers,estimated_max_diameter_miles,estimated_min_diameter_miles,id,is_potentially_hazardous,is_sentry_object,name
19.0,2018-01-02,0.4701970782,182.9066634198,70340481.378943434,43707548.3829260292,112937.125573112,31.3714237703,70174.737831804,0.9419763057,0.4212646106,0.5853167591,0.2617616123,3789676,False,False,(2017 WA15)
24.7,2018-01-02,0.1218593738,47.4032964082,18229902.760013806,11327536.3102342828,34976.4360535837,9.7156766816,21732.9971689615,0.0682401509,0.0305179233,0.0424024508,0.0189629525,3795086,False,False,(2017 YQ5)
22.5,2018-01-02,0.0019852285,0.7722538865,296985.955063295,184538.515311671,49514.5251182059,13.7540347551,30766.4003435875,0.1879489824,0.0840533402,0.1167860472,0.0522283081,3796295,False,False,(2018 AH)
20.3,2018-01-02,0.3056617297,118.9024128533,45726343.703635739,28413032.4476176382,28051.3846649432,7.7920512958,17430.0395436143,0.5176544822,0.2315021222,0.3216554833,0.1438487052,2138175,True,False,138175 (2000 EE104)
25.5,2018-01-02,0.0478354996,18.6080093444,7156088.850545852,4446587.4207306776,16727.350189441,4.6464861637,10393.7248996557,0.0472106499,0.0211132445,0.0293353287,0.0131191578,3595919,False,False,(2012 BN1)
25.4,2018-01-02,0.0512012343,19.9172801427,7659595.592650941,4759452.0025513458,32448.4474020941,9.0134576117,20162.2033315956,0.0494356193,0.022108281,0.0307178602,0.0137374447,3726712,False,False,(2015 RT1)
20.8,2018-01-02,0.4788646014,186.2783299446,71637124.387839018,44513244.9880057284,64832.3053622359,18.0089737117,40284.2732957738,0.411187571,0.1838886721,0.2555000322,0.1142630881,3740043,False,False,(2016 AG165)
18.5,2018-01-03,0.1139552843,44.3286055927,17047467.806524441,10592805.3000656458,34786.2872715249,9.6628575754,21614.846110465,1.1858779086,0.5303407233,0.7368701419,0.3295383456,3017307,False,False,(1999 AF4)
23.2,2018-01-03,0.0890024913,34.6219691157,13314583.123173531,8273298.3147994878,49478.6019525203,13.7440560979,30744.0790854424,0.1361570015,0.0608912622,0.0846040122,0.0378360645,3792430,False,False,(2017 XQ61)
20.7,2018-01-03,0.4642880281,180.6080429309,69456500.070260147,43158267.8681861486,98713.8584315546,27.420516231,61336.9527570957,0.4305662442,0.1925550782,0.2675413778,0.1196481415,3449126,False,False,(2009 EB1)
